u,v,length_m,lon_u,lat_u,lon_v,lat_v,speed_mps,congest_base
0,1,5.885,-3.1976500,55.9447920,-3.1975560,55.9447930,13.214655,0.125000
1,2,16.564,-3.1975560,55.9447930,-3.1972900,55.9447940,10.861703,0.250000
2,3,8.998,-3.1972900,55.9447940,-3.1971450,55.9447950,11.865839,0.250000
3,4,8.369,-3.1971450,55.9447950,-3.1970110,55.9447950,12.684860,0.250000
4,5,31.678,-3.1970110,55.9447950,-3.1965050,55.9448270,12.061304,0.250000
5,6,10.712,-3.1965050,55.9448270,-3.1963330,55.9448320,10.752037,0.250000
6,7,17.102,-3.1963330,55.9448320,-3.1960590,55.9448400,11.166349,0.250000
7,8,57.573,-3.1960590,55.9448400,-3.1951350,55.9448470,11.856763,0.250000
8,10,8.643,-3.1951350,55.9448470,-3.1949960,55.9448470,10.283081,0.250000
9,11,9.645,-3.1951020,55.9449750,-3.1949480,55.9449680,14.179205,0.125000
10,13,18.991,-3.1949960,55.9448470,-3.1946950,55.9448760,13.212082,0.250000
11,12,7.826,-3.1949480,55.9449680,-3.1948230,55.9449740,10.434431,0.250000
12,15,73.579,-3.1948230,55.9449740,-3.1936630,55.9451000,13.279314,0.250000
13,14,28.830,-3.1946950,55.9448760,-3.1942410,55.9449260,10.452330,0.250000
14,19,61.192,-3.1942410,55.9449260,-3.1932770,55.9450330,10.600650,0.250000
15,17,22.312,-3.1936630,55.9451000,-3.1933110,55.9451390,11.005905,0.250000
16,18,7.204,-3.1933770,55.9478380,-3.1932820,55.9478010,14.344101,0.125000
17,52,112.156,-3.1933110,55.9451390,-3.1915440,55.9453350,12.839775,0.250000
18,20,6.129,-3.1932820,55.9478010,-3.1932060,55.9477660,10.341818,0.250000
19,22,20.070,-3.1932770,55.9450330,-3.1929610,55.9450680,10.885122,0.250000
20,21,12.994,-3.1932060,55.9477660,-3.1930270,55.9477060,12.324261,0.250000
21,23,24.200,-3.1930270,55.9477060,-3.1926960,55.9475920,11.718896,0.250000
22,39,76.426,-3.1929610,55.9450680,-3.1917580,55.9452050,12.597446,0.250000
23,25,28.628,-3.1926960,55.9475920,-3.1922920,55.9474690,11.557747,0.375000
24,74,94.490,-3.1926780,55.9461200,-3.1912770,55.9464470,13.347141,0.125000
25,26,3.501,-3.1922920,55.9474690,-3.1922650,55.9474970,10.022124,0.375000
25,30,13.049,-3.1922920,55.9474690,-3.1921090,55.9474120,10.043848,0.375000
26,27,4.244,-3.1922650,55.9474970,-3.1922250,55.9475280,11.324260,0.250000
27,28,3.933,-3.1922250,55.9475280,-3.1921800,55.9475530,12.456856,0.250000
28,29,4.072,-3.1921800,55.9475530,-3.1921260,55.9475730,11.187355,0.250000
29,31,4.440,-3.1921260,55.9475730,-3.1920620,55.9475910,13.212890,0.250000
30,34,18.063,-3.1921090,55.9474120,-3.1918730,55.9473180,11.259990,0.250000
31,90,58.739,-3.1920620,55.9475910,-3.1911860,55.9477870,9.852279,0.375000
32,33,3.651,-3.1919440,55.9460510,-3.1918910,55.9460370,12.016443,0.125000
33,36,3.850,-3.1918910,55.9460370,-3.1918320,55.9460280,12.159684,0.250000
34,35,2.159,-3.1918730,55.9473180,-3.1918450,55.9473060,11.995311,0.250000
35,37,1.780,-3.1918450,55.9473060,-3.1918240,55.9472950,12.448229,0.250000
36,40,4.650,-3.1918320,55.9460280,-3.1917580,55.9460230,10.183479,0.250000
37,38,1.634,-3.1918240,55.9472950,-3.1918060,55.9472840,10.444307,0.250000
38,64,54.337,-3.1918060,55.9472840,-3.1913420,55.9468710,12.654461,0.250000
39,42,4.040,-3.1917580,55.9452050,-3.1916940,55.9452120,12.800054,0.250000
40,43,4.937,-3.1917580,55.9460230,-3.1916790,55.9460200,12.519867,0.250000
41,49,8.048,-3.1916940,55.9448710,-3.1915680,55.9448880,12.439735,0.125000
42,88,31.583,-3.1916940,55.9452120,-3.1911970,55.9452690,11.134496,0.375000
43,44,2.497,-3.1916790,55.9460200,-3.1916380,55.9460200,10.501791,0.250000
44,47,2.242,-3.1916380,55.9460200,-3.1916030,55.9460190,11.263799,0.250000
45,57,14.139,-3.1916340,55.9452620,-3.1914280,55.9453160,11.682694,0.250000
45,99,32.733,-3.1916340,55.9452620,-3.1911200,55.9453250,9.759240,0.500000
46,72,65.644,-3.1916170,55.9476530,-3.1912830,55.9470930,10.429353,0.250000
47,53,5.524,-3.1916030,55.9460190,-3.1915140,55.9460200,11.185478,0.250000
48,50,3.041,-3.1915810,55.9466540,-3.1915610,55.9466790,14.487337,0.125000
49,80,20.455,-3.1915680,55.9448880,-3.1912410,55.9449000,9.458624,0.500000
50,51,2.472,-3.1915610,55.9466790,-3.1915520,55.9467010,11.122579,0.375000
51,54,4.113,-3.1915520,55.9467010,-3.1914940,55.9467190,11.526668,0.375000
51,74,32.987,-3.1915520,55.9467010,-3.1912770,55.9464470,10.222118,0.375000
52,56,7.722,-3.1915440,55.9453350,-3.1914350,55.9453670,11.187858,0.250000
53,55,3.549,-3.1915140,55.9460200,-3.1914570,55.9460200,13.076203,0.250000
54,60,9.378,-3.1914940,55.9467190,-3.1913640,55.9467610,11.303977,0.250000
55,59,3.966,-3.1914570,55.9460200,-3.1913930,55.9460180,11.715731,0.250000
56,62,6.048,-3.1914350,55.9453670,-3.1913530,55.9453970,10.840801,0.250000
57,61,4.964,-3.1914280,55.9453160,-3.1913610,55.9453390,11.416903,0.250000
58,63,108.379,-3.1914220,55.9426000,-3.1913440,55.9435730,11.710991,0.125000
59,75,7.585,-3.1913930,55.9460180,-3.1912720,55.9460130,11.515102,0.250000
60,77,10.485,-3.1913640,55.9467610,-3.1912580,55.9468340,9.206486,0.375000
61,66,3.607,-3.1913610,55.9453390,-3.1913160,55.9453600,10.340094,0.250000
62,65,2.948,-3.1913530,55.9453970,-3.1913250,55.9454180,9.762984,0.375000
63,68,41.595,-3.1913440,55.9435730,-3.1913140,55.9439470,12.493833,0.250000
64,67,2.800,-3.1913420,55.9468710,-3.1913150,55.9468500,10.734323,0.250000
65,69,1.142,-3.1913250,55.9454180,-3.1913090,55.9454130,11.390916,0.375000
65,89,14.510,-3.1913250,55.9454180,-3.1911900,55.9455240,10.538983,0.500000
66,73,3.082,-3.1913160,55.9453600,-3.1912790,55.9453790,10.740023,0.250000
67,71,2.405,-3.1913150,55.9468500,-3.1912860,55.9468360,11.554655,0.250000
68,70,27.558,-3.1913140,55.9439470,-3.1912950,55.9441950,12.432763,0.250000
69,78,3.741,-3.1913090,55.9454130,-3.1912530,55.9454020,10.469200,0.500000
70,76,48.147,-3.1912950,55.9441950,-3.1912610,55.9446270,11.290947,0.250000
71,77,1.751,-3.1912860,55.9468360,-3.1912580,55.9468340,11.507316,0.375000
72,91,6.954,-3.1912830,55.9470930,-3.1911790,55.9471150,9.794691,0.375000
